"","seem","learn","mani","way","week","becom","care","chang","degre","differ","provid","share","appreci","educ","interest","posit","post","state","consid","recent","sinc","thought","month","requir","find","manag","back","good","hospit","privat","exam","health","plan","client","eat","thing","tri","ask","even","rds","career","new","hour","lot","advic","dietet","master","now","question","everyon","recommend","day","school","weight","current","much","program","help","one","pay","realli","experi","love","see","think","use","also","take","clinic","peopl","practic","start","make","food","will","need","look","thank","time","year","patient","job","anyon","feel","dietitian","want","just","get","can","know","like","nutrit","work"
"school",0,0,0,0.666666686534882,0,0,0,0,0.666666686534882,0.333333343267441,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,1,0,0,0.5,0,0,0.333333343267441,0.333333343267441,0,0,0,0,0,0,0.333333343267441,0,0,0.5,0,0,2,0,0,1,0,0,0,0,0,3.83333349227905,0,0,0.5,0.333333343267441,0.666666686534882,0,0,0,0.5,1,0,0,1,0.666666686534882,0,0,0,0,0,0.333333343267441,0.333333343267441,1.33333337306976,0,2,0,1,0,0,0,0.333333343267441,0,0,1.33333337306976,0.833333373069763,1,1.83333337306976,0.333333343267441,0,3.5,0.5
"weight",0,0,0.5,0,1,0,0,1,0,0,1,0,0,0,0.333333343267441,0,0,0,0.333333343267441,0.5,0,1,0,0,1,2,0,0,0,0.5,0,0.333333343267441,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.333333343267441,0,0,0.5,0,0,2.66666674613953,0,0,1,0,0,0,0.5,0.5,0,0.833333373069763,1,1.83333337306976,0,0.333333343267441,0,0,0.333333343267441,0.5,0,0,0,0.333333343267441,0,0,0,0,0,0.333333343267441,0.5,0.5,0,0.333333343267441,0,0.5,0,0,0.666666686534882,0.333333343267441,0.833333373069763
"current",0,0,0.333333343267441,1,0,0.333333343267441,0,0,0.833333373069763,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16666674613953,0,0,0.333333343267441,0.333333343267441,0,1,0,1,0,1,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0.833333373069763,0,0,0,0,0,0,1,0,0,0.833333373069763,2,2.83333349227905,0,0,0,0,0.333333343267441,0,0.833333373069763,0,0,0.833333373069763,0,1.5,2,0,0,1.83333337306976,0,0,0,0,0.5,0,1,6
"much",0,0.5,0,0.5,0,0.333333343267441,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0.5,0.333333343267441,0.333333343267441,0.5,0,0,0,0,0,0.333333343267441,0,0.333333343267441,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1.33333337306976,0,0,2,0,0,0.333333343267441,1,0,0,0.5,1,2,0,1,1,0,0,0,0.333333343267441,0,0,0,0,0.333333343267441,0,0,0.666666686534882,2.33333349227905,0.5,0.5,0,0,0.333333343267441,1.5,1,0,0.333333343267441,3.5,1.5,0.833333373069763,0,1
"program",0,0,0,0,0,1,0,0,0,0,1,0.5,0,0,0,0,0,0,0.333333343267441,0,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0.833333373069763,0,0,0,0,0,1.16666674613953,1,1.5,0,0,0,0,1.83333337306976,0,0.333333343267441,0,0,0.5,0.333333343267441,0,0,0,0.5,0,0,0,2,0.333333343267441,0,0,0,0,0,0.5,1.16666674613953,1.83333337306976,0,0,0.333333343267441,0,0,1.5,0,1,0.333333343267441,0.333333343267441,1.83333337306976,1.16666674613953,0.333333343267441,0,2.5,4.66666698455811,2.33333325386047
"help",0,0,1,0,0,0.5,0,0,0,0.333333343267441,1,0.333333343267441,2.5,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0.333333343267441,0,0,0,0,0.333333343267441,0,0.833333373069763,0,0.5,0,0,0,0.5,0.333333343267441,0.333333343267441,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,1.5,0,0,0,0,0,0,1,0,0,0,0,0.5,0,3.5,0,0,0.5,0,1,0.333333343267441,0.5,5.5,0.5,0,2.33333349227905,1.33333337306976,0,2.83333349227905,0,0.333333343267441,1.83333337306976,1.5,1,0,0.333333343267441,1.5,0
"one",0,0,0,0.5,0,0,0,0,0,1.83333337306976,1.33333337306976,0.5,0,0,0.5,0,0,0,0,0,0,1,0,1.33333337306976,0,0,0.333333343267441,0.5,0.5,0,0,0,0,1,0,2.5,0,0.5,0,0,0,0,0,0,0.333333343267441,0,0,0,0,0,0,4.5,0,0,1,0,0,0.5,1,0,0.5,0,1.5,0,1.5,1.5,0,0.833333373069763,0,0,1,0.333333343267441,0.333333343267441,1,1.33333337306976,1.66666674613953,1.5,1.5,0.333333343267441,1,2,0.333333343267441,0,0,0,1.5,0,0,1,0,1,0.5,2
"pay",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333343267441,0,0,0,1,0,0,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.333333343267441,0,0.5,1.33333337306976,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.33333337306976,0,0.333333343267441,0,1,1,0,0.333333343267441,1.5,0.5,0.5,0.333333343267441,0,1.33333337306976,0,2,0,0.5,0.5,0.333333343267441,0.5,0,2.33333349227905,0.333333343267441,0,1.16666674613953,0.5,0,1,0.333333343267441,1,1,0,0.5
"realli",0,0,0,0,0,0,0.333333343267441,0,0.5,0,0,0.333333343267441,1.5,0.833333373069763,4,0,0,0.666666686534882,0,0,0,0,0,0,0.333333343267441,0,0,1.33333337306976,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0,0,0,0.333333343267441,0,0.333333343267441,0,0,0,0,0,0,0,0,0,0.333333343267441,3.5,0,0,0,0,1,1,0.5,1,0,0.5,1.5,0.666666686534882,0,0.333333343267441,0,1.16666674613953,0.5,2,1,0.5,0.666666686534882,0.333333343267441,0,0.666666686534882,0,3.33333349227905,0.5,3.33333325386047,2.83333325386047,2.5,1,2,2,0,0.833333373069763
"experi",0.333333343267441,1,0,0,0,0,0,0.5,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0.5,0,0,0,0,0,0,0.333333343267441,0,0,0,1,0,0,0,0,0,0.333333343267441,0,0,0,0,0.833333373069763,0,2,1,0.666666686534882,0,0,1,1,2.33333349227905,0.333333343267441,0.333333343267441,0,1.66666674613953,0,0.833333373069763,1.5,0,0,1,0,1,2.5,1.33333337306976,0,2,1.5,0,1,0.5,0,0,0,0,1.33333337306976,1.16666674613953,0,5.6666669845581
